"Function Name","Grid
Dimensions","Block
Dimensions","Start Time
(μs)","Duration
(μs)","Occupancy","Registers
per Thread","Static Shared
Memory per
Block (bytes)","Dynamic Shared
Memory per
Block (bytes)","Cache
Configuration
Executed","Global
Caching
Requested","Global
Caching
Executed","Local Memory
per Thread
(bytes)","Device
Name","Context
ID","Stream
ID","Process
Name","Occupancy [0]:
Allocated Warps
Per Block","Occupancy [0]:
Allocated Registers
Per Block","Occupancy [0]:
Allocated Shared Memory
Per Block","Occupancy [0]:
Max Block Limit
Warps","Occupancy [0]:
Max Block Limit
Registers","Occupancy [0]:
Max Block Limit
Shared Memory","Occupancy [0]:
Block Limit Reason"
"colSum","{1, 1, 1}","{1024, 1, 1}","150407,226","369,971","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","152972,886","49,955","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"flToChOnGPU","{864, 1, 1}","{128, 1, 1}","153024,473","9,825","1","9","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","4","2048","0","16","32","2147483647","Warps"
"pixelMultOnGPU","{108, 1, 1}","{1024, 1, 1}","153402,636","13,313","1","11","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"pixelMultOnGPU","{108, 1, 1}","{1024, 1, 1}","153417,197","12,385","1","11","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","154173,972","504,698","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","154679,982","370,035","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","155899,286","49,122","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"pixelSousOnGPU","{864, 1, 1}","{128, 1, 1}","155949,72","11,617","1","11","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","4","2048","0","16","32","2147483647","Warps"
"copyFromBigToLittleOnGPU","{108, 1, 1}","{1024, 1, 1}","158915,594","11,777","1","9","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","159706,801","505,945","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","160214,25","370,003","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","161571,144","49,955","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"pixelMultOnGPU","{108, 1, 1}","{1024, 1, 1}","161622,507","14,433","1","11","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","162460,662","503,93","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","162966,192","370,098","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","164168,469","50,05","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_ak_and_bk","{108, 1, 1}","{1024, 1, 1}","164219,768","32,033","1","26","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","32768","0","2","2","2147483647","Warps, Registers"
"rowSum","{1, 1, 1}","{1024, 1, 1}","165130,822","503,609","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","165636,095","370,035","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","167355,186","504,409","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","167861,035","370,099","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","169249,397","50,178","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","169300,952","49,346","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_q","{108, 1, 1}","{1024, 1, 1}","169351,93","16,833","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"dispSelectOnGPU","{108, 1, 1}","{1024, 1, 1}","169370,267","16,225","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"copyFromBigToLittleOnGPU","{108, 1, 1}","{1024, 1, 1}","170438,513","11,808","1","9","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","171241,081","505,37","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","171747,667","369,554","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","172977,461","48,706","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"pixelMultOnGPU","{108, 1, 1}","{1024, 1, 1}","173027,735","13,985","1","11","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","173834,623","504,888","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","174340,887","369,522","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","175531,669","49,122","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_ak_and_bk","{108, 1, 1}","{1024, 1, 1}","175582,263","32,194","1","26","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","32768","0","2","2","2147483647","Warps, Registers"
"rowSum","{1, 1, 1}","{1024, 1, 1}","176583,274","505,145","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","177089,955","369,97","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","178852,249","503,641","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","179357,33","370,066","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","180742,233","49,379","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","180792,988","48,866","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_q","{108, 1, 1}","{1024, 1, 1}","180843,358","16,929","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"dispSelectOnGPU","{108, 1, 1}","{1024, 1, 1}","180861,631","16,641","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"copyFromBigToLittleOnGPU","{108, 1, 1}","{1024, 1, 1}","182008,152","11,681","1","9","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","182906,789","504,729","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","183413,022","370,098","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","184666,418","49,09","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"pixelMultOnGPU","{108, 1, 1}","{1024, 1, 1}","184716,692","14,081","1","11","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","185578,591","504,921","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","186084,76","370,066","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","187304,048","50,466","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_ak_and_bk","{108, 1, 1}","{1024, 1, 1}","187356,05","32,706","1","26","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","32768","0","2","2","2147483647","Warps, Registers"
"rowSum","{1, 1, 1}","{1024, 1, 1}","188334,305","504,888","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","188840,409","369,554","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","190720,177","492,952","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","191214,666","361,105","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","192592,996","48,898","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","192643,559","48,706","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_q","{108, 1, 1}","{1024, 1, 1}","192693,417","16,353","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"dispSelectOnGPU","{108, 1, 1}","{1024, 1, 1}","192711,178","16,065","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"copyFromBigToLittleOnGPU","{108, 1, 1}","{1024, 1, 1}","193786,367","11,616","1","9","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","194622,984","492,696","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","195117,408","361,874","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","196322,037","49,347","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"pixelMultOnGPU","{108, 1, 1}","{1024, 1, 1}","196372,728","13,696","1","11","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","197209,825","493,784","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","197704,729","361,298","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","198897,674","49,251","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_ak_and_bk","{108, 1, 1}","{1024, 1, 1}","198948,493","31,842","1","26","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","32768","0","2","2","2147483647","Warps, Registers"
"rowSum","{1, 1, 1}","{1024, 1, 1}","199871,162","493,976","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","200366,418","361,33","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","202093,641","493,816","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","202589,089","361,33","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","203960,99","49,443","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","204011,969","49,762","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_q","{108, 1, 1}","{1024, 1, 1}","204062,979","16,289","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"dispSelectOnGPU","{108, 1, 1}","{1024, 1, 1}","204080,772","15,937","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"copyFromBigToLittleOnGPU","{108, 1, 1}","{1024, 1, 1}","205140,663","11,905","1","9","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","205946,11","492,76","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","206440,343","361,361","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","207686,422","48,291","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"pixelMultOnGPU","{108, 1, 1}","{1024, 1, 1}","207736,377","14,177","1","11","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","208578,338","494,136","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","209073,978","361,329","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","210255,507","49,891","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_ak_and_bk","{108, 1, 1}","{1024, 1, 1}","210306,55","32,257","1","26","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","32768","0","2","2","2147483647","Warps, Registers"
"rowSum","{1, 1, 1}","{1024, 1, 1}","211197,633","493,72","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","211692,889","361,905","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","213388,607","494,167","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","213884,278","361,969","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","215252,962","50,658","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","215304,836","48,675","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_q","{108, 1, 1}","{1024, 1, 1}","215354,695","16,224","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"dispSelectOnGPU","{108, 1, 1}","{1024, 1, 1}","215372,392","16,48","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"copyFromBigToLittleOnGPU","{108, 1, 1}","{1024, 1, 1}","216431,065","11,553","1","9","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","217275,776","493,591","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","217770,807","361,297","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","218994,27","49,122","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"pixelMultOnGPU","{108, 1, 1}","{1024, 1, 1}","219044,544","13,857","1","11","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","219862,022","493,719","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"colSum","{1, 1, 1}","{1024, 1, 1}","220357,278","361,84","1","13","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
"computeBoxFilterOnGPU","{24, 18, 1}","{16, 16, 1}","221531,649","49,347","1","28","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","8192","0","8","8","2147483647","Warps, Registers"
"compute_ak_and_bk","{108, 1, 1}","{1024, 1, 1}","221582,276","32,193","1","26","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","32768","0","2","2","2147483647","Warps, Registers"
